,Outcome,Reduction Model,Prediction Model,N-Component,R2
0,M1000_MACRO,PCA,OLS,1,0.7338802536199123
1,M1000_MACRO,PCA,XGBoost,1,0.7218131226354904
2,M1000_MACRO,PCA,OLS,3,0.6862079486824396
3,M1000_MACRO,PCA,XGBoost,3,0.7318620226185193
4,M1000_MACRO,PCA,OLS,5,0.5310745250147254
5,M1000_MACRO,PCA,XGBoost,5,0.7532477791694604
6,M1000_MACRO,PCA,OLS,20,0.4622363389318792
7,M1000_MACRO,PCA,XGBoost,20,0.7683368875815446
8,M1000_MACRO,PCA,OLS,50,-2.8328429720148542
9,M1000_MACRO,PCA,XGBoost,50,0.7546735161317129
10,M1000_MACRO,UMAP,OLS,1,0.7326216095429008
11,M1000_MACRO,UMAP,XGBoost,1,0.6712921393073177
12,M1000_MACRO,UMAP,OLS,3,0.7037836583554946
13,M1000_MACRO,UMAP,XGBoost,3,0.7636347112929436
14,M1000_MACRO,UMAP,OLS,5,0.7041796283350995
15,M1000_MACRO,UMAP,XGBoost,5,0.6893806081390209
16,M1000_MACRO,UMAP,OLS,20,0.49837299304844795
17,M1000_MACRO,UMAP,XGBoost,20,0.6664963829126208
18,M1000_MACRO,UMAP,OLS,50,-4.431984176827471
19,M1000_MACRO,UMAP,XGBoost,50,0.498409529649646
20,M1000_MACRO,PCA,OLS,1,0.7296242146323739
21,M1000_MACRO,PCA,XGBoost,1,0.699793888378935
22,M1000_MACRO,PCA,OLS,3,0.03167650191797877
23,M1000_MACRO,PCA,XGBoost,3,0.6949748341246553
24,M1000_MACRO,PCA,OLS,5,0.5203382129001742
25,M1000_MACRO,PCA,XGBoost,5,0.6658440132408125
26,M1000_MACRO,PCA,OLS,20,-1.8501866155384845
27,M1000_MACRO,PCA,XGBoost,20,0.3281353216412587
28,M1000_MACRO,PCA,OLS,50,-19.96210540758135
29,M1000_MACRO,PCA,XGBoost,50,0.4177165781184866
30,M1000_MACRO,UMAP,OLS,1,0.7300629979063462
31,M1000_MACRO,UMAP,XGBoost,1,0.5702132038782919
32,M1000_MACRO,UMAP,OLS,3,0.7097213538732988
33,M1000_MACRO,UMAP,XGBoost,3,0.7230571487236035
34,M1000_MACRO,UMAP,OLS,5,0.6999202257318795
35,M1000_MACRO,UMAP,XGBoost,5,0.2516300927442603
36,M1000_MACRO,UMAP,OLS,20,0.38511486072589196
37,M1000_MACRO,UMAP,XGBoost,20,-0.2344069406041398
38,M1000_MACRO,UMAP,OLS,50,-0.0689399908133308
39,M1000_MACRO,UMAP,XGBoost,50,-0.19844534445575546
40,M1000_MACRO,PCA,OLS,1,0.7962081867716257
41,M1000_MACRO,PCA,XGBoost,1,0.5370784047024852
42,M1000_MACRO,PCA,OLS,3,0.7623167688135901
43,M1000_MACRO,PCA,XGBoost,3,0.5047478160822202
44,M1000_MACRO,PCA,OLS,5,0.4658271121224258
45,M1000_MACRO,PCA,XGBoost,5,0.5447107841239776
46,M1000_MACRO,PCA,OLS,20,0.3553993775986607
47,M1000_MACRO,PCA,XGBoost,20,0.34660155228959877
48,M1000_MACRO,PCA,OLS,50,-1.8825098821934625
49,M1000_MACRO,PCA,XGBoost,50,0.44946341919106414
50,M1000_MACRO,UMAP,OLS,1,0.7989507564814043
51,M1000_MACRO,UMAP,XGBoost,1,0.16219956459699336
52,M1000_MACRO,UMAP,OLS,3,0.7845585381879147
53,M1000_MACRO,UMAP,XGBoost,3,0.1777615721352941
54,M1000_MACRO,UMAP,OLS,5,0.803722445761132
55,M1000_MACRO,UMAP,XGBoost,5,-0.4149748670807287
56,M1000_MACRO,UMAP,OLS,20,0.5667138412882085
57,M1000_MACRO,UMAP,XGBoost,20,-1.397045588863648
58,M1000_MACRO,UMAP,OLS,50,-0.05149992495444744
59,M1000_MACRO,UMAP,XGBoost,50,-1.5335328953197194
60,M1000_MACRO,PCA,OLS,1,0.7844239373288922
61,M1000_MACRO,PCA,XGBoost,1,0.6975144775719295
62,M1000_MACRO,PCA,OLS,3,0.7829698349272871
63,M1000_MACRO,PCA,XGBoost,3,0.6337411205692073
64,M1000_MACRO,PCA,OLS,5,0.651679538899478
65,M1000_MACRO,PCA,XGBoost,5,0.5801298295567127
66,M1000_MACRO,PCA,OLS,20,0.13367055181670218
67,M1000_MACRO,PCA,XGBoost,20,0.6396026754921027
68,M1000_MACRO,PCA,OLS,50,-0.40905027555598417
69,M1000_MACRO,PCA,XGBoost,50,0.651544446257567
70,M1000_MACRO,UMAP,OLS,1,0.7914462459873871
71,M1000_MACRO,UMAP,XGBoost,1,0.7565802609694519
72,M1000_MACRO,UMAP,OLS,3,0.7850586329155335
73,M1000_MACRO,UMAP,XGBoost,3,0.7493416934297472
74,M1000_MACRO,UMAP,OLS,5,0.781933499524249
75,M1000_MACRO,UMAP,XGBoost,5,0.751868219482445
76,M1000_MACRO,UMAP,OLS,20,0.7872768421678542
77,M1000_MACRO,UMAP,XGBoost,20,-0.21205987438586438
78,M1000_MACRO,UMAP,OLS,50,0.22369605608579768
79,M1000_MACRO,UMAP,XGBoost,50,-0.2907189467410647
80,M1000_MACRO,PCA,OLS,1,0.37312347527854983
81,M1000_MACRO,PCA,XGBoost,1,0.24298317287704574
82,M1000_MACRO,PCA,OLS,3,0.37866442943314405
83,M1000_MACRO,PCA,XGBoost,3,0.11464216135513783
84,M1000_MACRO,PCA,OLS,5,0.3795021715465111
85,M1000_MACRO,PCA,XGBoost,5,0.06016143509809935
86,M1000_MACRO,PCA,OLS,20,-0.5393664680507171
87,M1000_MACRO,PCA,XGBoost,20,0.018752216633137753
88,M1000_MACRO,PCA,OLS,50,-0.4085278954016538
89,M1000_MACRO,PCA,XGBoost,50,0.03891077936446097
90,M1000_MACRO,UMAP,OLS,1,0.3809515478700075
91,M1000_MACRO,UMAP,XGBoost,1,0.3094964497009035
92,M1000_MACRO,UMAP,OLS,3,0.391584284163213
93,M1000_MACRO,UMAP,XGBoost,3,0.2520139002232381
94,M1000_MACRO,UMAP,OLS,5,0.3207124355283
95,M1000_MACRO,UMAP,XGBoost,5,-0.14982421892488618
96,M1000_MACRO,UMAP,OLS,20,0.05167512696335885
97,M1000_MACRO,UMAP,XGBoost,20,-0.2838789346297381
98,M1000_MACRO,UMAP,OLS,50,-2.657633336435161
99,M1000_MACRO,UMAP,XGBoost,50,-0.12978845659993343
